identifier,lines
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",average of 74.9 per cent; seasonally adjusted CU also increased to 76.4 per cent.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",Available high frequency indicators suggest that industrial activity has been improving
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",in Q3. The growth in core industries recovered in October on the back of double-digit
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","expansion in coal, cement and electricity. The purchasing managers’ index (PMI) for"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","manufacturing touched an eleven-month high of 54.0 in November, supported by an"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","expansion in output, and domestic and export orders. According to the assessment of"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","the Reserve Bank’s Industrial Outlook Survey (IOS), the overall business sentiment"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","in Q3 remained stable, with sustained optimism about production and exports."
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",14.     High frequency indicators of service sector activity showed a mixed picture in
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",September-October. Growth in tractors sales – an indicator of rural demand – turned
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","negative in September. Growth in two-wheeler sales, another indicator of rural"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","demand, rebounded in October, supported by a base effect. Growth in passenger"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",vehicles sales – an indicator of urban demand – turned marginally positive in
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","October, after three consecutive months of negative growth coincident with changes"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",in mandatory long-term third-party insurance requirements and a sharp increase in
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","fuel prices. Commercial vehicle sales growth remained robust in September-October,"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",despite some deceleration. Railway freight traffic improved markedly in October to
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",touch a five-year high growth. While domestic air passenger traffic sustained robust
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","growth, international passenger traffic contracted. PMI for services registered a sharp"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","uptick in November, driven by new business. The composite PMI output index"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",touched a two-year high of 54.5 in November.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","15.    Retail inflation, measured by y-o-y change in CPI, declined from 3.7 per cent"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",in September to 3.3 per cent in October. A large fall in food prices pushed food group
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",into deflation and more than offset the increase in inflation in items excluding food
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",and fuel. Adjusting for the estimated impact of an increase in house rent allowance
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","(HRA) for central government employees, headline inflation was 3.1 per cent in"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",October.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","16.     Within the food and beverages group, deflation in vegetables, pulses and"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","sugar deepened in October. Among other items, there was a broad-based softening"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","across food items, especially cereals, milk, fruits and prepared meals. Milk and milk"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",products inflation softened caused by surplus supplies in the domestic market. Fruits
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","inflation moderated, while prepared meals registered a price decline for the first time"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","in the CPI series. Inflation, however, showed an uptick in meat and fish, and non-"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",alcoholic beverages.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","17.     Inflation in the fuel and light group remained elevated, driven by liquefied"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","petroleum gas prices in October, tracking international petroleum product prices."
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","Kerosene prices also edged up, reflecting the calibrated increase in their"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","administered price. However, electricity prices softened in October. Inflation in rural"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",fuel items such as firewood and chips and dung cake also moderated.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",18.     CPI inflation excluding food and fuel accelerated to 6.1 per cent in October;
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","adjusted for the estimated HRA impact, it was 5.9 per cent. Transport and"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","communication registered a marked increase, pulled up by higher petroleum product"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","prices, transportation fares and prices of automobiles. A broad-based increase was"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","also observed in health, household goods and services, and personal care and"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","effects. However, inflation moderated significantly in clothing and footwear, as also"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",housing on waning of the HRA impact of central government employees.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","19.    Inflation expectations of households, measured by the November 2018 round"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","of the Reserve Bank’s survey, softened by 40 basis points for the three-month ahead"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","horizon over the last round reflecting decline in food and petroleum product prices,"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",while they remained unchanged for the twelve-month ahead horizon. Producers’
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",assessment for input prices inflation eased marginally in Q3 as reported by
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",manufacturing firms polled by the Reserve Bank’s IOS. Domestic farm and industrial
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","input costs remained high. Rural wage growth remained muted in Q2, while staff cost"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",growth in the manufacturing sector remained elevated.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",20.    The weighted average call rate (WACR) traded below the policy repo rate on
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","14 out of 21 days in October, on all 18 days in November and both days in December"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",(December 3 and 4). The WACR traded below the repo rate on an average by 5
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","basis points in October, 9 basis points in November and 16 basis points in"
